,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MGM,8866614272,3.1928656,1.789,,0.019523338858389902,0.24719101123595505,0.45293839949471737,10.204,14.544643,3.1928656,0.2582,0.02345,880.101
MCHP,29757526016,4.9331317,1.407,3.79,0.15760853180016793,0.6157303370786517,0.38820447280046166,11.216,97.07018,4.9331317,-7e-05,0.01598,79.545
MU,95954567168,1.9737931,1.211,0.56,0.6876709314911579,0.9887640449438202,0.41627859174007714,43.5,20.54067,1.9737931,0.101009995,0.055219997,30.891
MSFT,3260878422016,10.132333,0.985,0.77,0.09533116670666893,0.451685393258427,0.27395674469528386,43.3,33.852623,10.132333,0.3361,0.14581999,32.626
MAA,19581636608,3.2035058,0.803,3.68,0.0983430131827307,0.4606741573033708,0.23944465393348696,50.888,33.89189,3.2035058,0.09368,0.03492,82.626
MHK,6647000576,0.8457573,1.244,,0.371418910186188,0.9191011235955057,0.4300396143418167,125.698,13.896731,0.8457573,0.062589996,0.0359,35.465
MOH,17463240704,4.036835,0.636,,-0.15089179349627296,0.038202247191011236,0.3034183443174257,79.815,15.565217,4.036835,0.26718,0.06728,87.378
TAP,11081586688,0.8478838,0.738,3.31,-0.12533982648164346,0.06292134831460675,0.29151776304848553,64.431,10.211215,0.8478838,0.07989,0.041490003,49.065
MDLZ,85937201152,3.3328314,0.51,2.8,-0.04077744366462367,0.11910112359550562,0.18012329958146525,19.914,24.672863,3.3328314,0.13302,0.03691,78.051
MPWR,30536427520,9.346259,1.18,0.98,0.33823940606144315,0.8876404494382022,0.48912977764543975,68.238,17.0072,9.346259,0.67946,0.11995,0.543
MNST,59362697216,9.962437,0.628,,-0.059111551152010874,0.09662921348314607,0.23674599021211434,6.123,40.939598,9.962437,0.20004,0.14239,3.998
MCO,84691419136,22.889172,1.403,0.8,0.10531818878865935,0.48089887640449436,0.2596402677601111,20.563,40.715397,22.889172,0.55498004,0.12687999,188.388
