,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,DividendYield,52WeekChange,Momentum_6m,Volatility,Return_6m
TPL,65.57252,26.23007,0.41731,0.28298,0.11,1.455,29721413632,0.49,1.3256471,0.16857805920159574,0.5645520529408977,0.16857805920159574
TXT,16.162163,1.7812198,0.11699,0.04261,56.371,1.064,12955480064,0.11,-0.17899287,-0.12195605788088781,0.27485737898656143,-0.12195605788088781
TMO,25.182114,3.288212,0.13704,0.050019998,69.09,0.869,162078081024,0.41,-0.26641393,-0.21493040671423957,0.2526884891461379,-0.21493040671423957
TJX,30.327465,17.230595,0.61982,0.12810001,152.246,0.865,144323739648,1.33,0.3419199,0.13914666157205535,0.18961919720411038,0.13914666157205535
TSCO,25.547262,12.197149,0.49624002,0.091120005,257.388,0.875,27298428928,1.83,-0.068317235,-0.03720031450807615,0.2937802756448642,-0.03720031450807615
TT,32.71888,11.841156,0.38632,0.113570005,63.469,1.085,88511381504,0.96,0.22966588,0.020972826110849718,0.2895937805325708,0.020972826110849718
TRV,14.415941,2.1297896,0.16052,0.02691,28.495,0.494,60032851968,1.68,0.22258592,0.07436582564628247,0.2590240512200165,0.07436582564628247
TSN,20.652027,1.176799,0.05819,0.03482,52.644,0.615,21774139392,3.3,-0.022734582,0.06419731376371196,0.22119698997251955,0.06419731376371196
UDR,120.52777,4.370467,0.02848,0.018029999,136.541,0.773,16352606208,4.04,0.11430812,0.015957633999269305,0.2208292049251065,0.015957633999269305
UNP,19.677187,8.149531,0.42468,0.08991,211.385,1.059,130381209600,2.5,-0.10933602,-0.048726943481689045,0.22898005369902893,-0.048726943481689045
UPS,14.1109495,5.246418,0.35908002,0.07379,163.185,1.09,81922449408,6.93,-0.35395753,-0.2610365769227314,0.3134607748600455,-0.2610365769227314
URI,16.993176,4.8458576,0.30173,0.09315,159.21,1.719,42591043584,1.12,-0.039090395,-0.19002814677971858,0.388270922348078,-0.19002814677971858
UNH,16.74099,3.640406,0.22700001,0.07044,77.277,0.618,363884642304,2.1,-0.18635392,-0.28304268800273213,0.3743072530210299,-0.28304268800273213
UHS,9.973918,1.6988951,0.18473,0.075679995,73.981,1.212,11569306624,0.46,0.04132378,-0.13648206275146457,0.33917284804982756,-0.13648206275146457
VLO,39.77338,1.5537927,0.03714,0.02456,41.246,1.147,36499775488,3.93,-0.26753378,-0.07429003036528026,0.36794978050790145,-0.07429003036528026
VTR,205.46875,2.5851223,0.01381,0.01906,108.897,1.041,29650421760,2.93,0.40072668,0.010531450475307125,0.22529722213012948,0.010531450475307125
VRSK,44.5856,416.46576,4.45084,0.18275,3091.238,0.882,41555279872,0.61,0.24093032,0.12956371459089633,0.2085163403680881,0.12956371459089633
VZ,10.401192,1.828666,0.18416001,0.051469997,169.089,0.402,184186896384,6.26,0.113396764,0.09298779105630617,0.22421412885146866,0.09298779105630617
VICI,12.724,1.2632039,0.1012,0.04871,65.738,0.725,33613944832,5.49,0.09409726,0.012663576586473324,0.1982340393688941,0.012663576586473324
V,35.0998,17.673098,0.50655,0.16936001,54.594,0.943,670715084800,0.69,0.27546644,0.24592122890642054,0.22040104008598363,0.24592122890642054
VST,19.857143,15.261309,0.51573,0.072119996,311.893,1.23,47281823744,0.65,0.6848693,0.10197559851626892,0.7545224346969458,0.10197559851626892
