,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
NWS,16751630336,2.2696862,1.306,0.61,0.4139173840106475,0.8272727272727273,0.32906772990468464,14.35,43.426666,2.2696862,0.067150004,0.03517,31.318
NEE,144742268928,2.905732,0.684,3.36,-0.02992591720030248,0.07727272727272727,0.25827305881845697,24.197,26.333332,2.905732,0.07056,0.02548,148.557
NKE,86050217984,6.1478434,1.234,2.73,0.008023642664113576,0.12727272727272726,0.2824824474117145,9.483,19.36877,6.1478434,0.31934,0.08262,85.065
NI,18630426624,2.093737,0.535,2.77,0.05672207522619426,0.21136363636363636,0.2508137769424164,18.904,21.394596,2.093737,0.09364,0.03254,136.355
NDSN,10962331648,3.8108616,0.904,1.65,0.09120460332409586,0.2818181818181818,0.27890791043825525,50.545,24.506361,3.8108616,0.16153999,0.07441,79.788
NSC,50386735104,3.4723303,1.294,2.45,0.16823558158519922,0.4340909090909091,0.275169666510766,64.366,15.255973,3.4723303,0.24542,0.067379996,122.314
NTRS,19568678912,1.6315771,1.195,3.06,0.282196818356536,0.6568181818181819,0.3458009664092391,61.652,9.392157,1.6315771,0.17681,0.01375,
NOC,69462532096,4.6403985,0.147,1.7,0.20559476102293608,0.49772727272727274,0.24612131484943336,104.004,19.060822,4.6403985,0.25412,0.06404,120.969
NCLH,7908484608,5.5416408,2.1,,0.38344585723560104,0.7954545454545454,0.8708788755851171,3.194,10.056819,5.5416408,0.95873,0.043959998,1045.053
NRG,24303585280,12.965014,1.001,1.48,0.009537237725962535,0.1318181818181818,0.3799779766232846,9.204,23.961847,12.965014,0.4179,0.05698,443.664
NUE,26562820096,1.335977,1.747,1.91,1.03713229395135,0.9954545454545455,0.38894158303726467,86.244,20.320988,1.335977,0.074039996,0.0387,37.319
NVDA,2846259937280,35.991978,2.114,0.03,0.22725365681790397,0.5636363636363636,0.4342929313502273,3.241,39.676872,35.991978,1.1917701,0.57417,12.946
NVR,20905938944,5.32398,1.018,,0.17494205821589434,0.4431818181818182,0.3652329674221526,1343.016,14.732332,5.32398,0.38251,0.20363002,26.986
NXPI,48474451968,5.210732,1.391,2.17,0.31516167540622775,0.6954545454545454,0.43055333017678393,36.824,20.90196,5.210732,0.25441998,0.087629996,121.164
OXY,41387163648,1.5292538,0.813,2.46,0.7206803882056583,0.9795454545454545,0.8266244157248206,27.569,18.654867,1.5292538,0.0949,0.045100003,74.026
ODFL,33448519680,7.9199395,1.315,0.72,0.3292393299652251,0.7272727272727273,0.2676964533709601,19.985,29.640448,7.9199395,0.26593,0.16778,1.416
OMC,14873591808,3.3885071,0.968,3.69,0.34361986687171187,0.75,0.36328236274413483,22.414,10.375683,3.3885071,0.31022,0.051999997,129.051
ON,17124926464,2.132598,1.392,,0.39301921042955557,0.8068181818181818,0.4788519957433789,19.216,28.458332,2.132598,0.07852,0.06303,45.383
OKE,51407216640,2.4062219,1.003,5.13,0.504624806444224,0.9136363636363637,0.5251185948474453,34.203,16.07422,2.4062219,0.16409001,0.06048,144.846
ORCL,421587910656,25.186798,1.276,1.34,0.388851870605901,0.8045454545454546,0.2371093080382147,5.969,35.291077,25.186798,1.03741,0.073460005,632.501
PCAR,47592783872,2.6408389,0.967,1.49,0.06968453569524755,0.24772727272727274,0.27443323192743346,34.33,13.757208,2.6408389,0.19899,0.06702,87.159
PKG,16314755072,3.6731389,0.869,2.78,0.14474949766398995,0.38636363636363635,0.28964470242384127,49.391,18.976986,3.6731389,0.20211,0.08675,62.289
PLTR,276817444864,51.022182,2.684,,-0.16630514847598982,0.00909090909090909,0.9689448203859401,2.299,510.0,51.022182,0.12357,0.043920003,4.432
PANW,123766341632,19.362957,1.024,,0.2202431335644189,0.5477272727272727,0.3292858131797335,9.654,105.61017,19.362957,0.23378,0.0357,15.221
PH,82747760640,6.2115374,1.354,1.16,0.15547386645864036,0.40454545454545454,0.34590957027283914,104.256,24.926483,6.2115374,0.27146998,0.08821,69.948
PAYX,54622965760,13.268877,0.909,2.87,0.09639547104801462,0.29318181818181815,0.2542686358452299,11.429,31.528065,13.268877,0.44254002,0.11643,20.981
PAYC,14296224768,8.749394,0.809,0.66,-0.21906566500962274,0.0022727272727272726,0.4409515166380805,28.882,28.329596,8.749394,0.24987,0.05589,4.746
PYPL,68330168320,3.3961718,1.511,,0.22650073211726435,0.5590909090909091,0.3995857512540028,20.688,15.788765,3.3961718,0.22198999,0.04448,66.041
PNR,15376694272,4.2318316,1.111,1.09,0.33566120941522115,0.740909090909091,0.2934961379473666,22.085,24.149872,4.2318316,0.1859,0.08545999,53.77
PEP,178843664384,9.739416,0.481,4.31,0.03643789611442497,0.17272727272727273,0.16972873294656002,13.393,19.210604,9.739416,0.49927,0.08858,261.849
PFE,126670045184,1.4020516,0.502,7.55,0.055662214285768424,0.20909090909090908,0.24678380519553436,15.891,16.144928,1.4020516,0.0862,0.0479,68.843
PCG,37646258176,1.2934158,0.629,0.58,-0.20267083643238687,0.004545454545454545,0.3762277685602911,13.244,15.715595,1.2934158,0.08257,0.024260001,193.839
PSX,45192908800,1.6576501,0.988,4.55,0.3609758566458008,0.7681818181818182,0.49923047761844525,66.914,24.981981,1.6576501,0.0656,0.009509999,66.317
PNW,10938142720,1.6232259,0.451,3.82,0.027287877478951103,0.15681818181818183,0.25055142478296527,56.437,18.140593,1.6232259,0.0919,0.02503,177.219
PNC,65838174208,1.3004954,1.064,3.9,0.41996750306665726,0.8340909090909091,0.36032686451598916,127.982,11.762545,1.3004954,0.113290004,0.0109,
POOL,11350743040,9.179132,1.197,1.69,0.28321644958576747,0.6613636363636364,0.3398203001242803,32.892,28.269663,9.179132,0.31651,0.098050006,108.75
